Type,Week,Density,Replicate,50 weight,Remaining 
OA,OA.6,150,1,0.0025,0.0088
OA,OA.6,150,2,0.0022,0.0067
OA,OA.6,150,3,0.0023,0.0067
OA,OA.6,150,4,0.0024,0.0127
OA,OA.7,0,1,0.0023,0.0048
OA,OA.7,0,2,0.0024,0.0045
OA,OA.7,0,3,0.0023,0.006
OA,OA.7,0,4,0.0019,0.0042
OA,OA.7,2,1,0.0022,0.0037
OA,OA.7,2,2,0.0024,0.0051
OA,OA.7,2,3,0.0021,0.0042
OA,OA.7,2,4,0.0021,0.0072
OA,OA.7,6,1,0.0025,0.0056
OA,OA.7,6,2,0.0023,0.0041
OA,OA.7,6,3,0.0024,0.005
OA,OA.7,6,4,0.0024,0.0052
OA,OA.7,20,1,0.0023,0.0043
OA,OA.7,20,2,0.0022,0.0022
OA,OA.7,20,3,0.0023,0.0041
OA,OA.7,20,4,0.0023,0.0052
OA,OA.7,50,1,0.0023,0.0042
OA,OA.7,50,2,0.0023,0.0041
OA,OA.7,50,3,0.0022,0.0043
OA,OA.7,50,4,0.0022,0.0035
OA,OA.7,75,1,0.0022,0.0051
OA,OA.7,75,2,0.0023,0.0039
OA,OA.7,75,3,0.0024,0.0037
OA,OA.7,75,4,0.0025,0.0036
OA,OA.7,100,1,0.0025,0.0047
OA,OA.7,100,2,0.0023,0.0023
OA,OA.7,100,3,0.0024,0.0041
OA,OA.7,100,4,0.0024,0.0039
OA,OA.7,150,1,0.0022,0.0029
OA,OA.7,150,2,0.0024,0.0038
OA,OA.7,150,3,0.0024,0.005
OA,OA.7,150,4,0.002,0.0037
